colour,size,merch_family,notes
Cream,Queen,Near-White 1,approved 2026-08-27
Cream,King,Near-White 1,approved 2026-08-27
Cream,Twin,Near-White 1,approved 2026-08-27
Dusty Blue,Queen,Blue 2,approved 2026-08-27
Dusty Blue,King,Blue 2,approved 2026-08-27
Dusty Blue,Twin,Blue 2,approved 2026-08-27
Greige,Queen,Near-White 2,approved 2026-08-27
Greige,King,Near-White 2,approved 2026-08-27
Greige,Twin,Near-White 2,approved 2026-08-27
Sage,Queen,Green,approved 2026-08-27
Sage,King,Green,approved 2026-08-27
Sage,Twin,Green,approved 2026-08-27
Terracotta,Queen,Warm Earth,approved 2026-08-27
Terracotta,King,Warm Earth,approved 2026-08-27
Terracotta,Twin,Warm Earth,approved 2026-08-27
Soft Lavender,Queen,Soft Pastel,approved 2026-08-27
Soft Lavender,King,Soft Pastel,approved 2026-08-27
Soft Lavender,Twin,Soft Pastel,approved 2026-08-27
