,total,single,ranking,intervals,bias,consistency,SCORE,OVERALL,total_err,line_err,rank_corr,cover,bias_abs
hier_bayes,2.0,3.0,3.0,1.0,1.0,10.5,3.4250000000000007,1,39.0,70.0,0.41,69.0,6.0
knn_lookalike,1.0,2.0,13.0,8.0,2.0,4.0,4.25,2,37.0,70.0,0.29,54.0,21.0
ensemble,7.0,5.0,7.0,7.0,5.0,6.5,6.325,3,58.0,73.0,0.35,57.0,25.0
poisson_glm,5.0,1.0,17.0,9.0,9.0,4.0,6.65,4,51.0,69.0,0.13,51.0,34.0
negbin_glm,4.0,4.0,16.0,10.0,11.0,1.0,6.65,4,50.0,70.0,0.18,50.0,38.0
random_forest,6.0,10.0,14.0,3.0,3.0,4.0,7.1,6,58.0,79.0,0.29,63.0,22.0
lasso,8.0,7.0,5.0,14.0,15.0,6.5,8.425,7,60.0,77.0,0.36,34.0,50.0
matrix_factorisation,10.0,8.0,11.0,13.0,16.0,2.0,9.45,8,69.0,77.0,0.32,36.0,56.0
heuristic,9.0,6.0,12.0,5.0,17.0,10.5,9.475,9,68.0,76.0,0.31,61.0,59.0
cluster_pool,3.0,12.0,19.0,6.0,13.0,12.0,9.85,10,50.0,81.0,-0.05,57.0,43.0
gompertz,11.0,14.0,4.0,16.0,6.0,15.0,11.149999999999999,11,69.0,90.0,0.36,30.0,31.0
lightgbm,13.0,9.0,15.0,12.0,7.0,13.0,11.8,12,70.0,78.0,0.2,38.0,32.0
elasticnet,16.0,11.0,6.0,15.0,14.0,9.0,12.15,13,79.0,80.0,0.35,31.0,43.0
xgboost,12.0,13.0,18.0,11.0,12.0,8.0,12.399999999999999,14,69.0,82.0,0.07,49.0,40.0
logistic,14.0,15.0,9.0,18.0,8.0,16.0,13.55,15,73.0,90.0,0.33,29.0,32.0
bass,15.0,16.0,10.0,17.0,10.0,14.0,14.0,16,74.0,90.0,0.32,29.0,36.0
naive_family,18.0,18.0,1.0,4.0,18.0,19.0,14.200000000000001,17,334.0,182.0,0.57,62.0,154.0
ridge,17.0,17.0,8.0,19.0,4.0,17.0,14.55,18,94.0,90.0,0.33,27.0,24.0
size_ratio,19.0,19.0,2.0,2.0,19.0,18.0,14.6,19,626.0,272.0,0.46,66.0,237.0
