child_asin,program,colour,size,shade_family,pattern_type,launch_date,siblings_live_at_launch,organic_units_first61d,gross_units_first61d,days_observed
B07D2FRRFR,Duvet Cover Set,White,King,White,Solid,2019-05-08,0.0,215.0,215.0,61
B07D2FMTQX,Duvet Cover Set,Sky Blue,Queen,Light Blue,Solid,2019-05-21,0.0,8.0,8.0,61
B07HP3MYQ8,Duvet Cover Set,Vanilla Yellow,King,Yellow,Solid,2019-05-21,0.0,16.0,16.0,61
B07HP3N84J,Duvet Cover Set,Indigo Navy Blue,Queen,Dark Blue,Solid,2019-05-21,0.0,10.0,10.0,61
B07HP49MW4,Duvet Cover Set,Seafoam,King,Green,Solid,2019-05-21,0.0,12.0,12.0,61
B07HP5WYYB,Duvet Cover Set,Indigo Navy Blue,King,Dark Blue,Solid,2019-05-21,0.0,26.0,26.0,61
B089DC8XXL,400 TC Duvet Cover,White,King,White,Solid,2020-07-28,0.0,203.0,206.0,61
B089DF5522,400 TC Duvet Cover,White,Queen,White,Solid,2020-07-28,0.0,251.0,253.0,61
B089DGHQYN,Duvet Cover Set,White,Oversized King,White,Solid,2020-07-28,0.0,79.0,79.0,61
B089DGLSNN,400 TC Duvet Cover,White,Oversized King,White,Solid,2020-07-28,0.0,66.0,67.0,61
B07JPXB3PT,Duvet Cover Set,Ivory,Queen,Near White,Solid,2020-08-17,0.0,83.0,83.0,61
B07JXZ56WR,Duvet Cover Set,Ivory,King,Near White,Solid,2020-08-17,0.0,16.0,17.0,61
B089DDSZD4,400 TC Duvet Cover,Ivory,Queen,Near White,Solid,2020-08-17,0.0,38.0,38.0,61
B089DG67KX,400 TC Duvet Cover,Light Gray,Queen,Light Grey,Solid,2020-08-17,0.0,63.0,63.0,61
B089DG8DYB,400 TC Duvet Cover,Ivory,Oversized King,Near White,Solid,2020-08-17,0.0,11.0,11.0,61
B089DGTF55,Duvet Cover Set,Ivory,Oversized King,Near White,Solid,2020-08-17,0.0,12.0,12.0,61
