model,line_err_jun,line_err_jul,line_err_mean,line_err_worst,within25_jun,within25_jul,within50_jun,within50_jul,worst_miss_x
size_ratio,0.556,0.553,0.5545,0.556,0.23529411764705882,0.05263157894736842,0.47058823529411764,0.47368421052631576,999999999.9999999
negbin_glm,0.571,0.563,0.567,0.571,0.35294117647058826,0.3684210526315789,0.5294117647058824,0.5263157894736842,4.925
knn_lookalike,0.535,0.6,0.5675,0.6,0.35294117647058826,0.21052631578947367,0.5882352941176471,0.5263157894736842,4.971428571428571
naive_family,0.64,0.619,0.6295,0.64,0.17647058823529413,0.15789473684210525,0.35294117647058826,0.47368421052631576,999999999.9999999
poisson_glm,0.651,0.576,0.6134999999999999,0.651,0.11764705882352941,0.15789473684210525,0.47058823529411764,0.631578947368421,5.2
lasso,0.631,0.68,0.6555,0.68,0.11764705882352941,0.15789473684210525,0.5294117647058824,0.5263157894736842,9.85
random_forest,0.624,0.689,0.6565,0.689,0.17647058823529413,0.10526315789473684,0.7058823529411765,0.47368421052631576,14.75
cluster_pool,0.713,0.609,0.661,0.713,0.11764705882352941,0.2631578947368421,0.35294117647058826,0.631578947368421,10.353982300884955
matrix_factorisation,0.653,0.739,0.696,0.739,0.11764705882352941,0.10526315789473684,0.47058823529411764,0.47368421052631576,9.105263157894736
ensemble,0.674,0.758,0.716,0.758,0.23529411764705882,0.10526315789473684,0.5294117647058824,0.3684210526315789,8.675
heuristic,0.681,0.759,0.72,0.759,0.058823529411764705,0.21052631578947367,0.4117647058823529,0.2631578947368421,13.307692307692307
STACK,0.473,0.771,0.622,0.771,0.35294117647058826,0.05263157894736842,0.6470588235294118,0.3157894736842105,8.85
elasticnet,0.578,0.773,0.6755,0.773,0.29411764705882354,0.10526315789473684,0.5294117647058824,0.47368421052631576,14.0
lightgbm,0.724,0.8,0.762,0.8,0.23529411764705882,0.10526315789473684,0.47058823529411764,0.47368421052631576,17.25
gompertz,0.598,0.883,0.7404999999999999,0.883,0.17647058823529413,0.21052631578947367,0.5882352941176471,0.2631578947368421,9.161538461538461
logistic,0.594,0.89,0.742,0.89,0.29411764705882354,0.2631578947368421,0.5882352941176471,0.2631578947368421,9.13076923076923
bass,0.599,0.891,0.745,0.891,0.17647058823529413,0.21052631578947367,0.5882352941176471,0.21052631578947367,16.666666666666668
ridge,0.631,0.968,0.7995,0.968,0.29411764705882354,0.10526315789473684,0.5294117647058824,0.2631578947368421,21.05
hier_bayes,0.475,1.0,0.7375,1.0,0.17647058823529413,0.10526315789473684,0.7058823529411765,0.3157894736842105,7.1
xgboost,0.77,1.046,0.908,1.046,0.29411764705882354,0.10526315789473684,0.5294117647058824,0.3684210526315789,16.9
