month,model,total_err,line_err,bias,spearman,coverage,twin_over_queen,structural_ok,use_total,use_per_line,use_ranking,use_intervals,certified_for
June,heuristic,0.319,0.437,-0.319,0.448,1.0,0.6,True,False,True,True,False,"PER_LINE,RANKING"
June,naive_family,0.032,0.563,-0.032,0.562,0.667,0.64,True,True,True,True,True,"TOTAL,PER_LINE,RANKING,INTERVALS"
June,size_ratio,0.091,0.514,-0.091,0.8,0.667,0.78,True,True,True,True,True,"TOTAL,PER_LINE,RANKING,INTERVALS"
June,ridge,3.6,3.603,3.6,0.728,0.333,1.49,True,False,False,True,False,RANKING
June,lasso,0.878,0.935,0.878,0.828,0.444,0.95,True,False,False,True,False,RANKING
June,elasticnet,2.351,2.368,2.351,0.762,0.333,1.25,True,False,False,True,False,RANKING
June,poisson_glm,0.475,0.556,0.475,0.611,0.667,0.78,True,False,False,True,True,"RANKING,INTERVALS"
June,negbin_glm,0.622,0.722,0.622,0.577,1.0,0.75,True,False,False,True,False,RANKING
June,random_forest,0.057,0.441,-0.057,0.711,0.667,0.77,True,True,True,True,True,"TOTAL,PER_LINE,RANKING,INTERVALS"
June,xgboost,0.413,0.465,-0.413,0.51,0.667,0.81,True,False,True,True,True,"PER_LINE,RANKING,INTERVALS"
June,lightgbm,0.193,0.497,-0.193,0.176,0.333,1.01,True,True,True,False,False,"TOTAL,PER_LINE"
June,gompertz,2.347,2.347,2.347,0.728,0.333,1.5,True,False,False,True,False,RANKING
June,logistic,2.741,2.742,2.741,0.728,0.333,1.54,True,False,False,True,False,RANKING
June,bass,3.133,3.134,3.133,0.728,0.333,1.65,True,False,False,True,False,RANKING
June,hier_bayes,0.359,0.535,-0.359,0.025,0.667,0.78,True,False,True,False,True,"PER_LINE,INTERVALS"
June,knn_lookalike,0.228,0.423,-0.228,0.527,0.667,0.78,True,True,True,True,True,"TOTAL,PER_LINE,RANKING,INTERVALS"
June,matrix_factorisation,0.645,0.645,-0.645,0.72,0.667,0.78,True,False,False,True,True,"RANKING,INTERVALS"
June,cluster_pool,0.359,0.437,-0.359,0.152,1.0,0.78,True,False,True,False,False,PER_LINE
June,ensemble,0.194,0.496,-0.194,0.176,0.667,1.01,True,True,True,False,True,"TOTAL,PER_LINE,INTERVALS"
June,STACK,1.551,1.566,1.551,0.728,0.556,1.11,True,False,False,True,False,RANKING
July,heuristic,0.574,0.585,-0.574,0.661,0.909,0.6,True,False,False,True,True,"RANKING,INTERVALS"
July,naive_family,0.389,0.623,-0.389,0.587,0.727,0.64,True,False,True,True,True,"PER_LINE,RANKING,INTERVALS"
July,size_ratio,0.785,1.131,0.785,0.688,0.727,0.79,True,False,False,True,True,"RANKING,INTERVALS"
July,ridge,1.329,1.416,1.329,0.364,0.545,0.86,True,False,False,True,False,RANKING
July,lasso,0.412,0.901,0.412,0.536,0.545,0.79,True,False,False,True,False,RANKING
July,elasticnet,0.399,0.938,0.399,0.545,0.545,0.81,True,False,False,True,False,RANKING
July,poisson_glm,0.673,0.691,0.673,0.909,0.818,0.85,True,False,False,True,True,"RANKING,INTERVALS"
July,negbin_glm,0.329,0.628,0.329,0.882,1.0,0.83,True,False,True,True,False,"PER_LINE,RANKING"
July,random_forest,0.226,0.698,0.226,0.636,0.636,0.79,True,True,True,True,True,"TOTAL,PER_LINE,RANKING,INTERVALS"
July,xgboost,0.172,0.65,-0.172,0.636,0.273,0.79,True,True,True,True,False,"TOTAL,PER_LINE,RANKING"
July,lightgbm,0.005,0.767,0.005,0.427,0.364,0.79,True,True,True,True,False,"TOTAL,PER_LINE,RANKING"
July,gompertz,1.074,1.098,1.074,0.518,0.727,0.85,True,False,False,True,True,"RANKING,INTERVALS"
July,logistic,1.144,1.169,1.144,0.545,0.727,0.85,True,False,False,True,True,"RANKING,INTERVALS"
July,bass,1.145,1.178,1.145,0.545,0.636,0.85,True,False,False,True,True,"RANKING,INTERVALS"
July,hier_bayes,0.246,1.001,0.246,0.173,0.727,0.79,True,True,False,False,True,"TOTAL,INTERVALS"
July,knn_lookalike,0.059,0.555,0.059,0.718,0.273,0.79,True,True,True,True,False,"TOTAL,PER_LINE,RANKING"
July,matrix_factorisation,0.374,0.672,-0.374,0.164,0.727,0.79,True,False,True,False,True,"PER_LINE,INTERVALS"
July,cluster_pool,0.078,0.622,-0.078,0.494,1.0,0.79,True,True,True,True,False,"TOTAL,PER_LINE,RANKING"
July,ensemble,0.101,0.847,0.101,0.227,0.818,0.79,True,True,False,False,True,"TOTAL,INTERVALS"
July,STACK,0.582,0.902,0.582,0.518,0.636,0.83,True,False,False,True,True,"RANKING,INTERVALS"
