model,origin,child_asin,colour,size,y_units,pred,lo,hi
heuristic,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,10.431000000000001,2.3443940950567055,38.070682846001276
heuristic,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,13.725,3.3752992007633567,48.556753732903665
heuristic,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,3.43125,0.1448249624510302,16.15194654775876
heuristic,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,3.43125,0.1448249624510302,16.15194654775876
naive_family,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,0.0,0.0,4.274784476733291
naive_family,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,0.0,0.0,4.274784476733291
naive_family,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,0.0,0.0,4.274784476733291
naive_family,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,0.0,0.0,4.274784476733291
size_ratio,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,25.000000000000004,7.437325989615899,79.12017087309131
size_ratio,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,67.5,21.64486972148703,206.21028902840933
size_ratio,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,25.000000000000004,7.437325989615899,79.12017087309131
size_ratio,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,0.0,0.0,4.399123233204054
ridge,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,8.982309183302595,4.622927135879049,16.721463256249237
ridge,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,14.8383412348175,8.537387954818762,25.302070782784604
ridge,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,4.050984373755124,1.402707065390847,9.618207900332765
ridge,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,4.675628514934676,1.8027120937243917,10.493424212807238
lasso,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,14.144996048995065,7.552868376659366,25.818009493753635
lasso,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,19.84374299035676,11.129203462613013,34.819468540306744
lasso,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,7.498969283439349,3.4134145891201535,15.366574547270353
lasso,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,7.498969283439349,3.4134145891201535,15.366574547270353
elasticnet,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,12.739369864861954,6.930794090643299,22.802192078872253
elasticnet,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,19.329461623949932,11.232882312054707,32.78492487517726
elasticnet,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,6.256749813602396,2.750805548743209,13.039762171852246
elasticnet,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,6.829562987820517,3.115839486875742,13.894180585934896
poisson_glm,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,11.937155499476198,4.712250870541729,28.30018239933402
poisson_glm,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,11.937155499476198,4.712250870541729,28.30018239933402
poisson_glm,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,11.937155499476198,4.712250870541729,28.30018239933402
poisson_glm,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,11.937155499476198,4.712250870541729,28.30018239933402
negbin_glm,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,13.017128795108343,2.4265333148761545,23.60772427534053
negbin_glm,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,13.017128795108343,2.4265333148761545,23.60772427534053
negbin_glm,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,13.017128795108343,2.4265333148761545,23.60772427534053
negbin_glm,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,13.017128795108343,2.4265333148761545,23.60772427534053
