model,origins,wape_median,wape_mean,wape_iqr,mean_rank,worst_rank,spearman_median,top6_hit,coverage80,bias_median
knn_lookalike,7,0.4890116423898914,0.8181182379983424,0.354388631757605,4.285714285714286,8.0,0.4714663801273822,0.6666666666666667,0.5945673006044523,0.04053588752117762
negbin_glm,7,0.636146240525954,0.965755582719941,0.05204822587034952,6.285714285714286,11.0,0.11412884113685541,0.6666666666666667,0.40834439038773407,-0.4161699204665915
poisson_glm,7,0.6449950829506197,0.9935193872865907,0.056416572047386815,6.714285714285714,13.0,-0.01665664167943295,0.6428571428571429,0.49607106000294854,-0.3935196704160687
hier_bayes,7,0.6988741419708123,1.2148467152007607,0.1607559693715379,7.571428571428571,17.0,0.5,0.6666666666666667,0.6491080642783429,-0.04104318881466093
matrix_factorisation,7,0.7349297892470512,0.9101240746750144,0.16112458495148707,7.714285714285714,12.0,0.3986045639319472,0.6428571428571429,0.3560518944419873,-0.4779407630199199
random_forest,7,0.7285533392266443,0.9212259643881074,0.3104512772161593,8.285714285714286,15.0,0.2484636602905943,0.619047619047619,0.6441545039068259,-0.16411460327583838
heuristic,7,0.7661647248065386,0.8175307190161891,0.08820887868292115,8.857142857142858,15.0,0.3877174172505988,0.6666666666666667,0.6219814241486068,-0.661336830399602
lasso,7,0.6829400452907597,1.1157741135980928,0.4664279235360985,9.0,12.0,0.34359451493977744,0.6428571428571429,0.2506781660032434,-0.5325167276617605
elasticnet,7,0.6945502787837595,1.0943662196326518,0.504975130906151,9.142857142857142,13.0,0.39999999999999997,0.6428571428571429,0.2625829279080053,-0.4070615494699622
ensemble,7,0.6583415013989631,1.191518550348121,0.2581706078060446,9.285714285714286,16.0,0.39999999999999997,0.6428571428571429,0.5038109980834439,-0.49093593592049456
cluster_pool,7,0.7501887084599455,1.002173142566918,0.20793841371209665,10.285714285714286,17.0,0.05996705829064691,0.6428571428571429,0.5410290431962258,-0.4857142857142857
xgboost,7,0.770983542661247,1.1223561063381793,0.32793037517643786,11.0,18.0,0.01229148849494106,0.6428571428571429,0.479109538552263,-0.5229065486363003
lightgbm,7,0.7500327354389388,1.2898762802092976,0.27992844121166405,11.714285714285714,17.0,0.19315196206335955,0.619047619047619,0.3413828689370485,-0.5371649853728233
gompertz,7,0.8632650461653689,1.2019444636315355,0.6631582296091106,12.0,19.0,0.5,0.6666666666666667,0.22435500515995874,-0.2995515844497137
logistic,7,0.8546502070490051,1.2581328034179187,0.617226978285925,12.428571428571429,18.0,0.44055944055944063,0.6666666666666667,0.23275836650449655,-0.3360120065345657
bass,7,0.8521890214379986,1.2828417558363534,0.6067689018030257,12.428571428571429,17.0,0.44055944055944063,0.6666666666666667,0.23275836650449655,-0.3443706503407255
size_ratio,7,0.839834180536812,2.8987093349524105,3.8522933172028573,13.0,19.0,0.5,0.6904761904761905,0.7116246498599439,0.4081645238193167
ridge,7,0.8387085563867307,1.6679501570942001,0.7742888841900355,13.714285714285714,18.0,0.39999999999999997,0.6428571428571429,0.17686127082411912,-0.2171860382428036
naive_family,7,1.320527786333698,3.7549506633865803,4.4697601522505765,16.285714285714285,19.0,0.4986227924962806,0.7142857142857143,0.6413165266106443,0.8814550875991553
