model,june_line,july_line,june_total,july_total,line_swing,total_swing,worst_line,worst_total
STACK,0.473,0.771,0.125,0.024,0.29800000000000004,0.101,0.771,0.125
bass,0.599,0.891,0.078,0.043,0.29200000000000004,0.035,0.891,0.078
cluster_pool,0.713,0.609,0.563,0.375,0.10399999999999998,0.18799999999999994,0.713,0.563
elasticnet,0.578,0.773,0.403,0.292,0.19500000000000006,0.11100000000000004,0.773,0.403
ensemble,0.674,0.758,0.18,0.061,0.08399999999999996,0.119,0.758,0.18
gompertz,0.598,0.883,0.05,0.018,0.28500000000000003,0.032,0.883,0.05
heuristic,0.681,0.759,0.566,0.741,0.07799999999999996,0.17500000000000004,0.759,0.741
hier_bayes,0.475,1.0,0.342,0.414,0.525,0.07199999999999995,1.0,0.414
knn_lookalike,0.535,0.6,0.218,0.148,0.06499999999999995,0.07,0.6,0.218
lasso,0.631,0.68,0.483,0.386,0.049000000000000044,0.09699999999999998,0.68,0.483
lightgbm,0.724,0.8,0.173,0.242,0.07600000000000007,0.069,0.8,0.242
logistic,0.594,0.89,0.08,0.031,0.29600000000000004,0.049,0.89,0.08
matrix_factorisation,0.653,0.739,0.547,0.401,0.08599999999999997,0.14600000000000002,0.739,0.547
naive_family,0.64,0.619,0.002,0.413,0.02100000000000002,0.411,0.64,0.413
negbin_glm,0.571,0.563,0.26,0.312,0.008000000000000007,0.05199999999999999,0.571,0.312
poisson_glm,0.651,0.576,0.041,0.245,0.07500000000000007,0.204,0.651,0.245
random_forest,0.624,0.689,0.053,0.144,0.06499999999999995,0.091,0.689,0.144
ridge,0.631,0.968,0.116,0.099,0.33699999999999997,0.017,0.968,0.116
size_ratio,0.556,0.553,0.513,0.145,0.0030000000000000027,0.368,0.556,0.513
xgboost,0.77,1.046,0.201,0.283,0.276,0.08199999999999996,1.046,0.283
